# RESULTS FOR MEASUREMENTS
# MEAS GAMMA    NODE    MEASVALUE    MEASERROR   EXPR   AUTHOR      YR   TITLE 
# ---- ------- -------  -----------  ----------  ------ ----------- ---  --------------------------------------------------------------------------------------------------
%  136  140         5.7492127665
%  136  141        23.3710221141
%  136  142         9.7200703883
%  136  143        11.9718683388
%  136  144         4.1428907360
%  136  145         2.9596965883
%  136  146         4.4470924384
%  136  147         3.4484282868
%  137  138         2.5977181572
%  137  139         3.1068051600
%  137  140         1.8677125961
%  137  141         7.5924051101
%  137  142         3.1577015214
%  137  143         3.8892297439
%  137  144         1.3458763010
%  137  145         0.9614990475
%  137  146         1.4447005009
%  137  147         1.1202704109
%  138  139         6.0241506055
%  138  140         3.8936661211
%  138  141        14.8963932759
%  138  142         6.1954496670
%  138  143         7.6307171399
%  138  144         2.9188292739
%  138  145         1.8864730922
%  138  146         2.8345203549
%  138  147         2.2111897117
%  138  153         0.3758151728
%  138  154         0.3253557626
%  138  155         0.0833205222
%  138  156         0.1224878467
%  139  140         4.7587571756
%  139  141        17.6357017139
%  139  142         7.3347353474
%  139  143         9.0339351848
%  139  144         3.6365380730
%  139  145         2.2333779815
%  139  146         3.3557623349
%  139  147         2.6263965945
%  139  149        28.1528205178
%  139  153         0.6893810457
%  139  154         0.5968202247
%  139  155         0.1528399940
%  139  156         0.2246870429
%  140  141        11.3987080973
%  140  142         4.7407530788
%  140  143         5.8390185892
%  140  144         2.3504500502
%  140  145         1.4435276858
%  140  146         2.1689726850
%  140  147         1.6975524203
%  140  153         0.4455764469
%  140  154         0.3857504305
